domain,fb_score,mturk_score,allsides_score,allsides_score_community,mbfc_score,media_score,buntain_share_ideology_score
100fedup.com,,,,,,,1.5513773383266074
100milefreepress.net,,,,,-0.33,,
100percentfedup.com,0.856,,,,1.0,,1.51726632486312
1011now.com,,,,,0.0,,0.2635038066153383
10best.com,,,,,,,0.08850662764988
10news.com,,,,,,,0.013236369470576
10tv.com,-0.0984,,,,0.0,,0.219781407141854
11alive.com,0.0686,,,,0.0,,0.5438361801439215
12news.com,,,,,0.0,,0.1915011391555369
12newsnow.com,,,,,0.0,,0.7700411764024868
12tomatoes.com,,,,,,,0.488814204170272
12up.com,,,,,,,0.2861782113476342
13abc.com,,,,,0.0,,0.113807929154522
13newsnow.com,,,,,0.0,,0.0517063959760977
13wham.com,,,,,0.33,,0.1063754777897354
13wmaz.com,,,,,0.0,,0.5434726570017603
14news.com,,,,,0.0,,0.3733139088178652
19fortyfive.com,,,,,0.33,,
19thnews.org,,,,,-0.66,,
1krecipes.com,,,,,,,0.6937982747322398
2020conservative.com,,,,,1.0,,
21stcenturywire.com,,,,,0.66,,
247sports.com,,,,,,,0.3494132261356375
247wallst.com,,0.0,,,0.0,,
24jours.com,,,,,0.33,,
24ur.com,,,,,0.0,,
25newsnow.com,,,,,0.0,,
270towin.com,,0.0,,,,,
2ndvote.com,,,,,0.66,,
38north.org,,,,,0.0,,
3lstories.com,,,,,,,0.5093081007931812
4029tv.com,,,,,0.0,,0.5749783208805513
4chan.org,,,,,1.0,,
55meals.com,,,,,,,0.4939926262076984
5newsonline.com,,,,,,,0.6050850800232611
604now.com,,,,,-0.33,,
6abc.com,-0.5037,,,,-0.33,,-0.0927016248598865
77recipes.com,,,,,,,0.4795647558386411
79days.news,,,,,0.66,,
7news.com.au,,,,,0.33,,
7online.com,-0.4067,,,,,,0.476096315085672
8newsnow.com,,,,,0.0,,
911truth.org,,,,,0.66,,
929thedrive.com,,,,,0.0,,
972mag.com,,,,,-0.33,,
999-news.co.uk,,,,,,,0.4782392247101513
9and10news.com,,,,,,,0.2374757540721891
9gag.com,,,,,,,-0.4634835785305354
9news.com,-0.032,0.0,,,0.0,,-0.0882597268402695
9news.com.au,,,,,0.33,,
a1apac.org,,,,,0.66,,
aa.com.tr,,,,,0.66,,
aap.com.au,,,,,0.0,,
aapsonline.org,,,,,1.0,,
aarp.org,,,0.0,0.0,,,-0.5229310431543541
aattp.org,-0.8936,,,,,,
aawsat.com,,,,,0.33,,
abandonedspaces.com,,,,,,,0.215738025720046
abbynews.com,,,,,-0.33,,
abc.es,,,,,0.33,,
abc.net.au,,,,,-0.33,,-0.3055087433000302
abc10.com,,,,,,,-0.0410409490394784
abc11.com,-0.19,,,,-0.33,,0.193039419807286
abc12.com,,,,,0.0,,-0.0782429172083051
abc13.com,0.0097,-0.0833333333333,,,-0.33,,0.1317275898842985
abc15.com,,,,,,,0.2568173376573976
abc17news.com,,,,,0.0,,
abc27.com,,,,,0.0,,0.4222095072568513
abc30.com,,,,,-0.33,,0.084679247091931
abc3340.com,,,,,0.33,,0.5363070523002388
abc4.com,,,,,0.0,,
abc6onyourside.com,,,,,,,0.204553394737485
abc7.com,-0.31,,,,,,-0.2079261219592121
abc7amarillo.com,,,,,0.33,,
abc7chicago.com,-0.503,,,,0.0,,-0.1869033404069546
abc7news.com,,,,,-0.33,,-0.400800114159383
abc7ny.com,,,,,0.0,,-0.1845433944108594
abcactionnews.com,,,,,,,0.2217148934072632
abcnews.go.com,-0.1605,0.0,-0.5,0.0,-0.33,-0.1877441183190495,
abcnews4.com,,,,,0.33,,0.2454676128838943
abcstlouis.com,,,,,0.33,,
abort73.com,,,,,0.66,,
abovethelaw.com,,,,,-0.33,,
abovetopsecret.com,,,,,0.66,,
abqjournal.com,,,,,0.33,,
abs-cbn.com,,,,,0.0,,
ac2news.com,,,,,0.66,,1.2694324834458637
academia.org,,,,,0.66,,
accountable.us,,,,,-0.66,,
accuweather.com,,,,,,,0.3809636897912694
aceshowbiz.com,,,,,-0.33,,
aciprensa.com,,,,,,,-0.0424187213452606
aclj.org,0.9268,,,,0.66,,1.5083856600980994
aclu.org,-0.7686,,-0.5,-0.5,-0.33,,-1.4002332143860057
acontecercristiano.net,,,,,,,0.178250412807811
acpeds.org,,,,,1.0,,
acsh.org,,,,,0.33,,
act.tv,,,,,-0.66,,
act.weareultraviolet.org,-0.971,,,,,,
actblue.com,,,,,,,-1.4226798547455817
acting-man.com,,,,,0.66,,
actionnetwork.org,,,,,,,-1.2757995864035176
actionnews3.com,,,,,,,0.0471639492272558
actionnews5.com,,,,,0.0,,
actionnewsjax.com,,,,,0.0,,0.4225580227718122
actionnewsnow.com,,,,,0.0,,0.1368335773008902
actionsprout.io,,,,,,,-0.6552221107979185
actiontaker.org,,,,,,,-1.0808695764097151
activebeat.com,,,,,,,0.380875585708384
activistmommy.com,,,,,,,1.4972901275066322
activistpost.com,,,,,-0.66,,0.144248858052968
acton.org,,,,,0.66,,
ad.nl,,,,,0.0,,
adaa.org,,,,,0.0,,
adaderana.lk,,,,,-0.33,,
adage.com,,0.0,,,,,
adamscountytimes.com,,,,,0.33,,
adareporter.com,,,,,0.33,,
addictinginfo.com,,,,,,,-1.3915416286209286
addictinginfo.org,-0.8894,,,,,,-1.3129070661929008
additudemag.com,,,,,,,-0.1819342408909025
adelaidenow.com.au,,0.0,,,0.66,,
adflegal.org,,,,,1.0,,1.6042599933725257
adfontesmedia.com,,,,,0.0,,
adilimad.com,,,,,,,0.1505718480847449
adl.org,,,,,-0.33,,
adn.com,,,,,0.0,,-0.1112251572215863
advocate-news.com,,,,,0.0,,
advocate.com,-0.9276,0.75,,,-0.66,,-1.288394346106197
adweek.com,,,,,0.0,,-0.6398863854727133
aei.org,,,,,0.66,,
aeon.co,,,,,-0.33,,-1.3260248813112936
afa.net,,,,,1.0,,1.5880819065060086
affinitymagazine.us,,,,,-0.33,,
afj.org,,,,,-0.66,,
afn.net,,,,,1.0,,
afp.com,,,,,0.0,,
afpc.org,,,,,0.66,,
afr.com,,,,,0.33,,
africacheck.org,,,,,0.0,,
africanarguments.org,,,,,-0.33,,
africanews.com,,,,,-0.33,,
afropunk.com,,,,,,,-1.1947507342493064
aftonbladet.se,,,,,-0.66,,
againstcronycapitalism.org,0.6857,,,,,,
agassizharrisonobserver.com,,,,,-0.33,,
agdaily.com,,,,,0.0,,
ageofautism.com,,,,,0.66,,
agerpres.ro,,,,,0.0,,
agriculture.com,,,,,-0.33,,
agweb.com,,,,,0.33,,
ahram.org.eg,,,,,0.33,,
ahtribune.com,,,,,,,-0.9139198561865284
ahvalnews.com,,,,,-0.33,,
ahwatukee.com,,,,,0.0,,
aidc.org.za,,,,,-0.66,,
aier.org,,,,,0.33,,
aim.org,,,1.0,0.5,0.66,,
aim4truth.org,,,,,1.0,,
aina.org,,,,,0.66,,
airforcetimes.com,,,,,0.0,,0.4073867961338936
airspacemag.com,,,,,0.0,,
airwars.org,,,,,0.0,,
aish.com,,,,,0.66,,
ajc.com,,0.0,-0.5,0.0,-0.33,,-0.3277462827884586
akamaihd.net,,,,,,,0.4681587885356241
akamaized.net,,,,,,,0.3112225353394751
akc.org,,,,,,,0.1649690884502176
al-monitor.com,,,,,-0.33,,
al-sura.com,,,,,-0.33,,
al.com,0.009,0.0,,,0.33,,0.1668637705410053
alabamanow.com,,,,,0.0,,
alarabiya.net,,,,,0.33,,
alaraby.co.uk,,,,,-0.33,,
alaskasnewssource.com,,,,,0.0,,
